structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
b.1.2,1,36,162,20230,0.255747142073138,0.394903675259992,0.000476190476190476,0.540178367460886,./generated_files/OUT/OUT
a.45.1,1,37,162,20230,0.261670451480367,0.398194165296211,0.000476190476190476,0.528279144161179,./generated_files/OUT/OUT
c.93.1,1,39,162,20230,0.273376878610562,0.410065317915843,0.000476190476190476,0.505416261201674,./generated_files/OUT/OUT
g.44.1,4,344,162,20230,0.299516077415461,0.436794279564214,0.000476190476190476,0.161982416984606,./generated_files/OUT/OUT
a.29.2,1,43,162,20230,0.296239179008604,0.436794279564214,0.000476190476190476,0.463012412648587,./generated_files/OUT/OUT
a.123.1,1,47,162,20230,0.318386446435933,0.439876011523329,0.000476190476190476,0.424383010292456,./generated_files/OUT/OUT
a.39.1,3,241,162,20230,0.306472264903005,0.439876011523329,0.000476190476190476,0.191585080372968,./generated_files/OUT/OUT
g.17.1,1,47,162,20230,0.318386446435933,0.439876011523329,0.000476190476190476,0.424383010292456,./generated_files/OUT/OUT
c.56.5,1,46,162,20230,0.312915436393948,0.439876011523329,0.000476190476190476,0.4337230365466,./generated_files/OUT/OUT
d.108.1,1,48,162,20230,0.323814159554168,0.441564763028411,0.000476190476190476,0.415239630852587,./generated_files/OUT/OUT
a.11.2,1,50,162,20230,0.334541054498495,0.450343727209513,0.000476190476190476,0.397510863892155,./generated_files/OUT/OUT
c.10.1,1,53,162,20230,0.350315097293684,0.465608673618188,0.000476190476190476,0.372204998627385,./generated_files/OUT/OUT
g.49.1,1,59,162,20230,0.380756923151406,0.49974346163622,0.000476190476190476,0.32562885658603,./generated_files/OUT/OUT
a.298.1,2,167,162,20230,0.389156313224139,0.504461887512773,0.000476190476190476,0.174794392744572,./generated_files/OUT/OUT
b.7.1,2,176,162,20230,0.414201634840814,0.530380142174213,0.000476190476190476,0.151998196078005,./generated_files/OUT/OUT
b.18.1,1,72,162,20230,0.441937119880433,0.556871265044381,0.000476190476190476,0.239148371796905,./generated_files/OUT/OUT
d.42.1,2,188,162,20230,0.446785024489305,0.556871265044381,0.000476190476190476,0.123353014628475,./generated_files/OUT/OUT
a.238.1,1,74,162,20230,0.45080054789307,0.556871265044381,0.000476190476190476,0.227249148497198,./generated_files/OUT/OUT
c.55.3,1,76,162,20230,0.459524057840264,0.561046814804973,0.000476190476190476,0.215667275947382,./generated_files/OUT/OUT
a.118.1,2,200,162,20230,0.478340961506251,0.577308056990303,0.000476190476190476,0.0964808682281737,./generated_files/OUT/OUT
a.116.1,1,82,162,20230,0.48487686109768,0.578546254718823,0.000476190476190476,0.182667015844457,./generated_files/OUT/OUT
a.4.5,2,210,162,20230,0.503790948686755,0.594360108001228,0.000476190476190476,0.0752915691582357,./generated_files/OUT/OUT
d.169.1,1,89,162,20230,0.512964773004349,0.598458901838407,0.000476190476190476,0.147090861583261,./generated_files/OUT/OUT
g.50.1,1,100,162,20230,0.554058409825095,0.639298165182802,0.000476190476190476,0.0964808682281737,./generated_files/OUT/OUT
d.3.1,1,107,162,20230,0.578395145362924,0.640157912835062,0.000476190476190476,0.0670970905429641,./generated_files/OUT/OUT
g.39.1,1,107,162,20230,0.578395145362924,0.640157912835062,0.000476190476190476,0.0670970905429641,./generated_files/OUT/OUT
c.55.1,1,103,162,20230,0.564654852193722,0.640157912835062,0.000476190476190476,0.0836436435230015,./generated_files/OUT/OUT
c.37.1,7,895,162,20230,0.579190492565056,0.640157912835062,0.000476190476190476,-0.0102441270734814,./generated_files/OUT/OUT
c.69.1,1,116,162,20230,0.60775512233399,0.664732165052802,0.000476190476190476,0.0320228790012553,./generated_files/OUT/OUT
b.47.1,1,130,162,20230,0.649437510937924,0.702999367510124,0.000476190476190476,-0.017462484078663,./generated_files/OUT/OUT
a.4.1,2,337,162,20230,0.753892462333365,0.807741923928605,0.000476190476190476,-0.130119036979184,./generated_files/OUT/OUT
d.15.1,1,209,162,20230,0.81430334619816,0.863655064149564,0.000476190476190476,-0.22366541788288,./generated_files/OUT/OUT
b.55.1,2,425,162,20230,0.856221004574141,0.890130747329553,0.000476190476190476,-0.230878066158157,./generated_files/OUT/OUT
b.29.1,1,236,162,20230,0.850638237353651,0.890130747329553,0.000476190476190476,-0.276431134741933,./generated_files/OUT/OUT
No-Fold,44,6844,162,20230,0.97111765600043,0.986462994372353,0.000476190476190476,-0.0953764561547016,./generated_files/OUT/OUT
f.13.1,3,811,162,20230,0.959333491438054,0.986462994372353,0.000476190476190476,-0.33541873126332,./generated_files/OUT/OUT
g.37.1,3,903,162,20230,0.977068108711664,0.986462994372353,0.000476190476190476,-0.38208562736567,./generated_files/OUT/OUT
b.1.1,2,840,162,20230,0.991561799018041,0.991561799018041,0.000476190476190476,-0.526768422169727,./generated_files/OUT/OUT
