structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
e.78.1.1,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
e.11.1.0,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
a.24.14.0,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
d.58.1.2,1,2,162,20230,0.0236451920299262,0.121863682000389,0.000373134328358209,1.79545087256419,./generated_files/OUT/OUT
b.1.16.1,1,3,162,20230,0.0314027808715145,0.13574105279945,0.000373134328358209,1.61935961350851,./generated_files/OUT/OUT
a.47.4.1,1,3,162,20230,0.0314027808715145,0.13574105279945,0.000373134328358209,1.61935961350851,./generated_files/OUT/OUT
b.33.1.2,1,3,162,20230,0.0314027808715145,0.13574105279945,0.000373134328358209,1.61935961350851,./generated_files/OUT/OUT
b.1.8.0,1,3,162,20230,0.0314027808715145,0.13574105279945,0.000373134328358209,1.61935961350851,./generated_files/OUT/OUT
d.230.3.0,1,3,162,20230,0.0314027808715145,0.13574105279945,0.000373134328358209,1.61935961350851,./generated_files/OUT/OUT
c.1.11.1,1,4,162,20230,0.0390991095697105,0.145638239370906,0.000373134328358209,1.49442087690021,./generated_files/OUT/OUT
c.74.1.1,1,4,162,20230,0.0390991095697105,0.145638239370906,0.000373134328358209,1.49442087690021,./generated_files/OUT/OUT
d.54.1.0,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
d.15.2.1,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
d.58.1.1,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
c.56.5.0,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
b.87.1.1,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
a.118.1.20,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
a.153.1.1,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
b.40.3.1,1,4,162,20230,0.0390991095697105,0.145638239370906,0.000373134328358209,1.49442087690021,./generated_files/OUT/OUT
b.22.1.1,2,39,162,20230,0.042022818734208,0.145638239370906,0.000373134328358209,0.806446256865656,./generated_files/OUT/OUT
f.1.4.1,1,5,162,20230,0.0467346589026043,0.145638239370906,0.000373134328358209,1.39751086389215,./generated_files/OUT/OUT
c.10.2.5,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
d.164.1.0,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
c.3.1.8,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
d.87.1.1,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
g.52.1.0,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
c.3.1.7,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
c.15.1.3,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
c.46.1.0,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
d.109.1.1,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
b.64.1.1,1,7,162,20230,0.0618253238648426,0.157350936337665,0.000373134328358209,1.25138282821392,./generated_files/OUT/OUT
b.15.1.1,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
c.1.4.1,1,6,162,20230,0.0543099058984732,0.157350936337665,0.000373134328358209,1.31832961784453,./generated_files/OUT/OUT
d.144.1.0,4,173,162,20230,0.0529101331907747,0.157350936337665,0.000373134328358209,0.460494756427341,./generated_files/OUT/OUT
g.3.9.0,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
a.2.3.0,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
g.54.1.1,1,8,162,20230,0.0692813824173302,0.157350936337665,0.000373134328358209,1.19339088123623,./generated_files/OUT/OUT
a.35.1.7,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
d.15.2.2,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
b.2.5.3,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
b.42.1.2,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
c.3.1.1,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
c.10.2.1,2,55,162,20230,0.0753950539771593,0.165563466396731,0.000373134328358209,0.657148174397911,./generated_files/OUT/OUT
b.34.10.1,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
b.4.1.1,1,9,162,20230,0.0766785475082581,0.165563466396731,0.000373134328358209,1.14223835878885,./generated_files/OUT/OUT
g.14.1.2,1,10,162,20230,0.0840172814550576,0.165563466396731,0.000373134328358209,1.09648086822817,./generated_files/OUT/OUT
c.37.1.8,3,131,162,20230,0.0912072202607043,0.177127065433832,0.000373134328358209,0.456330827292072,./generated_files/OUT/OUT
d.108.1.0,1,12,162,20230,0.0985212871803705,0.185941584255911,0.000373134328358209,1.01729962218055,./generated_files/OUT/OUT
g.3.11.1,1,12,162,20230,0.0985212871803705,0.185941584255911,0.000373134328358209,1.01729962218055,./generated_files/OUT/OUT
g.3.9.1,1,13,162,20230,0.105687465671797,0.194001649315353,0.000373134328358209,0.982537515921337,./generated_files/OUT/OUT
b.22.1.0,1,13,162,20230,0.105687465671797,0.194001649315353,0.000373134328358209,0.982537515921337,./generated_files/OUT/OUT
a.65.1.1,1,14,162,20230,0.112797026500198,0.20153068734702,0.000373134328358209,0.950352832549936,./generated_files/OUT/OUT
b.1.18.11,1,14,162,20230,0.112797026500198,0.20153068734702,0.000373134328358209,0.950352832549936,./generated_files/OUT/OUT
a.4.5.13,1,15,162,20230,0.119850414226898,0.208570850732524,0.000373134328358209,0.920389609172492,./generated_files/OUT/OUT
c.55.3.9,1,15,162,20230,0.119850414226898,0.208570850732524,0.000373134328358209,0.920389609172492,./generated_files/OUT/OUT
d.144.1.7,5,328,162,20230,0.126666575363561,0.217606680752784,0.000373134328358209,0.279577028852513,./generated_files/OUT/OUT
a.4.5.0,1,17,162,20230,0.133790431302166,0.218633143835247,0.000373134328358209,0.8660319468499,./generated_files/OUT/OUT
g.8.1.0,1,17,162,20230,0.133790431302166,0.218633143835247,0.000373134328358209,0.8660319468499,./generated_files/OUT/OUT
g.14.1.1,1,17,162,20230,0.133790431302166,0.218633143835247,0.000373134328358209,0.8660319468499,./generated_files/OUT/OUT
d.122.1.1,1,17,162,20230,0.133790431302166,0.218633143835247,0.000373134328358209,0.8660319468499,./generated_files/OUT/OUT
g.50.1.1,1,18,162,20230,0.140677932535554,0.227118589876678,0.000373134328358209,0.841208363124868,./generated_files/OUT/OUT
d.58.29.1,1,19,162,20230,0.147511004490064,0.227200857490443,0.000373134328358209,0.817727267275345,./generated_files/OUT/OUT
c.47.1.10,1,19,162,20230,0.147511004490064,0.227200857490443,0.000373134328358209,0.817727267275345,./generated_files/OUT/OUT
g.76.1.1,1,19,162,20230,0.147511004490064,0.227200857490443,0.000373134328358209,0.817727267275345,./generated_files/OUT/OUT
b.40.3.3,1,19,162,20230,0.147511004490064,0.227200857490443,0.000373134328358209,0.817727267275345,./generated_files/OUT/OUT
c.55.1.0,1,21,162,20230,0.161015567158041,0.245182795445199,0.000373134328358209,0.774261573494254,./generated_files/OUT/OUT
g.17.1.2,1,22,162,20230,0.167687902853691,0.252473921150501,0.000373134328358209,0.754058187405968,./generated_files/OUT/OUT
a.26.1.3,1,23,162,20230,0.174307499286393,0.259524498937518,0.000373134328358209,0.734753032210581,./generated_files/OUT/OUT
a.45.1.1,1,24,162,20230,0.180874770747293,0.263448035653666,0.000373134328358209,0.716269626516568,./generated_files/OUT/OUT
b.18.1.2,1,24,162,20230,0.180874770747293,0.263448035653666,0.000373134328358209,0.716269626516568,./generated_files/OUT/OUT
c.23.2.1,1,26,162,20230,0.193853979772035,0.273436139888976,0.000373134328358209,0.681507520257356,./generated_files/OUT/OUT
a.123.1.0,1,26,162,20230,0.193853979772035,0.273436139888976,0.000373134328358209,0.681507520257356,./generated_files/OUT/OUT
a.4.1.3,1,26,162,20230,0.193853979772035,0.273436139888976,0.000373134328358209,0.681507520257356,./generated_files/OUT/OUT
