structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR005140,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR019832,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR016053,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR032392,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR005142,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR015008,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR025994,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR015121,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR020860,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR019831,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR013567,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR019149,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR022316,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR003193,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR031660,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR013284,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR032355,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR014744,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR013506,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR008417,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR010303,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR021126,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR012542,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
